export_res_1,export_res_2,export_res_3,export_res_4,export_res_5,export_res_6,export_res_7,export_res_8,export_res_9,export_res_10,export_res_11,export_res_12,export_res_13
0,0,NaN,737437,737533,737617,737893,737989,738625,738997,739081,739177,739261
88.2756,22.60609,-3.197814,4.308125,-0.7424964,-8.27329,1.324192,-2.166475,-7.806452,-8.391877,-17.51255,-11.8335,-18.01456
88.27564,22.6061,-3.852723,4.463547,1.375987,-6.348876,3.403223,-3.198904,-7.944609,-8.779883,-22.0878,-10.03712,-20.22575
88.27652,22.60599,-2.857557,-3.506894,-5.653306,0.1404175,9.271651,-6.610566,-11.87444,-8.607254,-18.31686,-5.851529,-17.03812
88.27639,22.60597,-3.161434,0.4520372,2.994044,-3.185386,5.560151,-14.10617,-10.16911,-2.829907,-18.99508,-8.047575,-20.03159
88.27675,22.60578,-3.569036,1.391383,2.405209,-8.067557,5.949672,-5.123549,-5.757193,-8.731361,-25.36888,-9.25118,-17.65445
88.27721,22.6056,-3.316985,4.187224,0.6012618,-7.454579,2.157424,-5.880207,-1.909482,-11.02838,-21.5359,-12.82253,-15.79683
88.27589,22.60537,-3.427107,0.9365377,2.498142,-2.031187,2.988299,-10.18736,-9.117993,-5.796535,-16.15926,-12.58669,-19.84753
88.2766,22.60537,-2.628041,6.328884,-2.58935,-6.30789,-2.299092,-7.592656,-3.378818,-7.152174,-16.06663,-8.93736,-18.31189
88.27664,22.60537,-2.496785,8.627133,-3.347284,-7.268218,-0.7937362,-10.41742,-4.842738,-5.32416,-15.00168,-8.454194,-18.47274
88.27624,22.60517,-2.357542,1.054587,1.427145,-6.463231,-1.723447,-8.664074,-7.926144,-6.688746,-15.04739,-9.886428,-14.42716
88.27608,22.60514,-3.496295,-1.981732,8.314302,-6.837001,0.5846865,-8.239871,-3.760529,-5.907927,-24.94794,-9.497615,-19.33033
